year,state_name,district_name,registration_circles,murder,homicide,hit_and_run,acdnt_other_than_hit_and_run_,dowry_deaths,abetment_of_suicide,atmpt_cmmt_murder,atmpt_cmmt_suicide,miscarr_infant_foetic_aband,vlntrly_caus_dangers_weapons,vlntrly_caus_pub_srvnt_duty,hrt_endgrng_lf_safety,vlntrly_caus_grvus_hurt,acid_attack,grvus_hrt_lf_safety,assault_on_women,sex_hrrsmt_other_places,voyeurism,stalking,other_kidnp_abduc,kidnp_abdctn_murder,kidnp_abdctn_marrg,proc_minor_girls,human_trafficking,rape,ofnc_agnst_state_other,rioting_sectarian,rioting_political,rioting_agrarian,impt_asrtns_prjudc_intgrtn,affray,auto_motor_vehicle_theft,extortion_and_blackmailing,robbery,dacoity,cntrft_seal_mark,cntrft_curr_bank_notes,bank_frauds,atm_fraud,credit_debit_card_fraud,cheating,forgery,sale_food_drugs,rash_driving_pub_way,cheating_impersonation,ofnc_mischief,arson,criminal_trespass,crlty_husbnd_relatives,criminal_intimidation,insult_modesty_women,other_ipc_crimes
2017,Andhra Pradesh,Ananthapuramu,Anantapur,113.0,4.0,50.0,503.0,14.0,63.0,175.0,21.0,9.0,1610.0,11.0,10.0,7.0,0.0,0.0,196.0,50.0,5.0,60.0,17.0,0.0,32.0,16.0,3.0,43.0,0.0,0.0,3.0,0.0,0.0,79.0,176.0,27.0,23.0,5.0,0.0,6.0,20.0,26.0,3.0,137.0,4.0,6.0,1041.0,4.0,9.0,38.0,198.0,471.0,139.0,8.0,159.0
2017,Andhra Pradesh,Chittoor,Chittoor,70.0,5.0,36.0,461.0,8.0,24.0,83.0,6.0,1.0,490.0,31.0,102.0,4.0,0.0,84.0,163.0,3.0,0.0,0.0,5.0,0.0,3.0,2.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,30.0,199.0,4.0,6.0,6.0,0.0,2.0,2.0,3.0,3.0,141.0,8.0,0.0,52.0,0.0,4.0,7.0,100.0,212.0,26.0,12.0,470.0
2017,Andhra Pradesh,Y.S.R.,Cuddapah,88.0,10.0,32.0,437.0,15.0,143.0,286.0,16.0,2.0,949.0,118.0,712.0,2.0,0.0,76.0,203.0,98.0,5.0,104.0,0.0,2.0,7.0,15.0,4.0,41.0,0.0,0.0,0.0,0.0,0.0,325.0,247.0,96.0,19.0,0.0,0.0,3.0,3.0,9.0,0.0,206.0,45.0,0.0,6636.0,1.0,44.0,68.0,198.0,481.0,332.0,60.0,447.0
2017,Andhra Pradesh,East Godavari,East Godavari,69.0,14.0,138.0,503.0,10.0,18.0,74.0,109.0,0.0,809.0,62.0,6.0,0.0,3.0,7.0,223.0,136.0,23.0,62.0,25.0,1.0,4.0,6.0,0.0,108.0,0.0,0.0,3.0,0.0,0.0,4.0,347.0,33.0,16.0,2.0,0.0,4.0,0.0,0.0,0.0,296.0,33.0,0.0,1125.0,0.0,25.0,40.0,848.0,601.0,50.0,127.0,48.0
2017,Andhra Pradesh,Ananthapuramu,Guntakal Railway,11.0,0.0,0.0,0.0,3.0,3.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0
2017,Andhra Pradesh,Guntur,Guntur,100.0,6.0,62.0,533.0,14.0,64.0,144.0,47.0,0.0,1432.0,59.0,6.0,19.0,0.0,4.0,191.0,78.0,5.0,39.0,11.0,0.0,7.0,69.0,0.0,90.0,0.0,0.0,6.0,0.0,0.0,3.0,262.0,21.0,19.0,0.0,0.0,3.0,0.0,0.0,6.0,366.0,10.0,16.0,5135.0,0.0,31.0,38.0,10.0,558.0,70.0,387.0,729.0
2017,Andhra Pradesh,Guntur,Guntur Urban,32.0,9.0,3.0,263.0,1.0,35.0,45.0,6.0,0.0,532.0,22.0,0.0,0.0,1.0,0.0,87.0,29.0,7.0,28.0,51.0,0.0,74.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,59.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,398.0,0.0,9.0,75.0,0.0,2.0,19.0,93.0,335.0,186.0,184.0,157.0
2017,Andhra Pradesh,Krishna,Krishna,35.0,8.0,35.0,332.0,14.0,48.0,61.0,16.0,0.0,1467.0,63.0,0.0,0.0,0.0,0.0,186.0,158.0,11.0,42.0,90.0,0.0,16.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,33.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,312.0,0.0,0.0,50.0,0.0,0.0,31.0,0.0,620.0,0.0,221.0,1239.0
2017,Andhra Pradesh,Kurnool,Kurnool,93.0,22.0,41.0,527.0,18.0,68.0,219.0,17.0,6.0,524.0,79.0,501.0,3.0,0.0,0.0,246.0,63.0,0.0,17.0,9.0,0.0,17.0,17.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,195.0,175.0,22.0,9.0,3.0,0.0,6.0,40.0,6.0,3.0,334.0,6.0,2.0,165.0,2.0,3.0,21.0,148.0,313.0,90.0,410.0,1147.0
2017,Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,67.0,10.0,52.0,423.0,6.0,38.0,315.0,12.0,0.0,962.0,155.0,1.0,10.0,1.0,1.0,150.0,67.0,6.0,34.0,24.0,0.0,9.0,1.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,16.0,304.0,21.0,34.0,10.0,0.0,1.0,7.0,3.0,0.0,169.0,10.0,0.0,4648.0,1.0,46.0,27.0,51.0,469.0,187.0,90.0,317.0
2017,Andhra Pradesh,Prakasam,Prakasham,91.0,46.0,33.0,452.0,6.0,58.0,83.0,33.0,0.0,1257.0,53.0,5.0,13.0,1.0,3.0,268.0,36.0,0.0,42.0,13.0,0.0,25.0,5.0,10.0,91.0,0.0,0.0,0.0,0.0,0.0,29.0,189.0,17.0,23.0,7.0,0.0,3.0,0.0,0.0,0.0,149.0,18.0,23.0,182.0,0.0,18.0,16.0,272.0,598.0,135.0,4.0,295.0
2017,Andhra Pradesh,East Godavari,Rajahmundry,14.0,0.0,25.0,135.0,1.0,15.0,30.0,19.0,1.0,344.0,10.0,0.0,11.0,0.0,0.0,59.0,14.0,2.0,15.0,6.0,0.0,3.0,1.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,10.0,11.0,3.0,0.0,2.0,2.0,1.0,1.0,56.0,6.0,0.0,36.0,1.0,0.0,23.0,48.0,163.0,23.0,31.0,12.0
2017,Andhra Pradesh,Srikakulam,Srikakulam,30.0,25.0,25.0,273.0,7.0,21.0,20.0,10.0,2.0,564.0,27.0,195.0,11.0,0.0,0.0,39.0,27.0,1.0,13.0,1.0,0.0,10.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,21.0,45.0,11.0,3.0,0.0,0.0,1.0,0.0,10.0,0.0,99.0,3.0,23.0,403.0,0.0,1.0,3.0,111.0,224.0,21.0,7.0,84.0
2017,Andhra Pradesh,Tirupati,Tirupathi Urban,38.0,3.0,42.0,210.0,7.0,7.0,29.0,5.0,2.0,278.0,14.0,2.0,0.0,0.0,0.0,47.0,15.0,3.0,14.0,11.0,0.0,4.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,245.0,25.0,9.0,5.0,0.0,6.0,0.0,0.0,0.0,246.0,30.0,2.0,1552.0,0.0,0.0,12.0,0.0,86.0,30.0,55.0,203.0
